CB Link ID,Link Site ID,Street Address,Cross Street 1,Cross Street 2,Corner_location,Borough,Zip Code,Community Board,Council District,Site in BID,BID,Zoning,Neighborhood Tabulation Area (NTA),Census Tract (CT),Building Identification Number (BIN),Borough-Block-Lot (BBL),Latitude,Longitude,DoITT NTP Issued (A),DoITT NTP Expiration Date,In Progress/Suspended,Project Status,Location 1
LINK-005408,si-02-GF5012,8 NEW DORP LANE,RICHMOND ROAD,2 STREET,SEC,Staten Island,10306,502,50,No,,C2-1,New Dorp-Midland Beach,5013400,5057251,5041910031,40.575698,-74.119692,04/11/2018 12:00:00 AM,10/11/2018 12:00:00 AM,Temporarily Suspended,Ready for CX,"(40.57569839, -74.11969156)"
LINK-001749,si-02-125465,2212 Hylan Blvd,Lincoln Ave,Zwicky Ave,SEC,Staten Island,10306,502,50,No,,C2-1,New Dorp-Midland Beach,5011202,5136036,5036920006,40.576541,-74.103479,03/28/2018 12:00:00 AM,09/28/2018 12:00:00 AM,In Progress,ConEd in Progress,"(40.576541, -74.103479)"
LINK-005418,si-02-GF5022,2154A Hylan Blvd,ZWICKY AVE,MIDLAND AVE,SE,Staten Island,10306,502,50,No,,C2-1,New Dorp-Midland Beach,5011202,5053558,5036910011,40.577391,-74.102671,04/11/2018 12:00:00 AM,10/11/2018 12:00:00 AM,In Progress,CX In Progress,"(40.57739083, -74.10267054)"
LINK-018411,si-02-GF5043,1660 Richmond Rd,Buel Ave,Liberty Ave,NE,Staten Island,10304,502,50,No,,C1-1,Old Town-Dongan Hills-South Beach,5011401,5050551,5035300001,40.589488,-74.101271,04/11/2018 12:00:00 AM,10/11/2018 12:00:00 AM,In Progress,CX In Progress,"(40.58948831, -74.10127071)"
LINK-018415,si-02-GF5045,1617 Richmond Rd,Liberty Ave,Seaview Ave,MIDBLOCK,Staten Island,10304,502,50,No,,C1-1,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,5018100,5022895,5008830008,40.590453,-74.100922,06/26/2018 12:00:00 AM,12/26/2018 12:00:00 AM,In Progress,Ready to Submit to DOT,"(40.59045311240619, -74.10092194682801)"
LINK-001756,si-02-125479,1351 Hylan Blvd,Old Town Rd,Dumont Ave,SWC,Staten Island,10305,502,50,No,,C2-1,Old Town-Dongan Hills-South Beach,5009601,5048984,5033230001,40.595676,-74.086120,04/02/2018 12:00:00 AM,10/02/2018 12:00:00 AM,In Progress,ConEd in Progress,"(40.595676, -74.08612)"
LINK-000025,bk-14-126509,1591 FLATBUSH AVENUE,EAST 31 STREET,FLATBUSH AVENUE,NEC,Brooklyn,11210,314,45,Yes,Flatbush-Nostrand Junction,C4-4A,Flatbush,3078600,3205905,3075580027,40.632135,-73.946781,02/08/2018 12:00:00 AM,08/08/2018 12:00:00 AM,Installed,Link Active!,"(40.632134775181385, -73.94678067381744)"
LINK-011802,bk-07-125840,4201 4 AVENUE,42 STREET,43 STREET,NE,Brooklyn,11232,307,38,No,,C2-4,Sunset Park West,3008200,3010833,3007240001,40.650390,-74.008285,03/26/2018 12:00:00 AM,09/26/2018 12:00:00 AM,Installed,Link Active!,"(40.65039017, -74.00828534)"
LINK-001091,bk-17-126292,3923 CHURCH AVENUE,EAST 40 STREET,EAST 39 STREET,NWC,Brooklyn,11203,317,41,No,,C2-2,East Flatbush-Farragut,3081400,3108908,3048760033,40.651341,-73.940166,01/11/2018 12:00:00 AM,07/11/2018 12:00:00 AM,Installed,Link Installed; Connecting Power and Fiber,"(40.651341, -73.940166)"
LINK-001080,bk-09-126559,597 FLATBUSH AVE,RUTLAND RD,BEEKMAN PL,NEC,Brooklyn,11225,309,40,No,,C1-3,Prospect Lefferts Gardens-Wingate,3079801,3115044,3050340001,40.658911,-73.960426,02/08/2018 12:00:00 AM,08/08/2018 12:00:00 AM,Installed,Link Active!,"(40.658911, -73.960426)"
LINK-010461,bk-05-109447,2693 ATLANTIC AVENUE,VERMONT ST,WYONA ST,NEC,Brooklyn,11207,305,37,No,,C4-4D,East New York,3119800,3083349,3036720051,40.676060,-73.894779,06/20/2018 12:00:00 AM,12/20/2018 12:00:00 AM,In Progress,Ready to Submit to DOT,"(40.67606023, -73.89477864)"
LINK-012146,bk-05-141940,2837 ATLANTIC AVENUE,SCHENCK AVE,HENDRIX ST,NWC,Brooklyn,11207,305,37,No,,C2-4,East New York,3119800,3087805,3039480035,40.676870,-73.889668,06/20/2018 12:00:00 AM,12/20/2018 12:00:00 AM,In Progress,Ready to Submit to DOT,"(40.67686992, -73.88966797)"
LINK-010570,bk-05-143984,3101 ATLANTIC AVENUE,HIGHLAND AVENUE,SHEPHERD AVENUE,NW,Brooklyn,11208,305,37,No,,C2-4,East New York,3116800,3256546,3039580049,40.679197,-73.880808,06/20/2018 12:00:00 AM,12/20/2018 12:00:00 AM,In Progress,Ready to Submit to DOT,"(40.67919702, -73.88080796)"
LINK-021687,bk-08-145935,2 UNDERHILL AVENUE,PACIFIC STREET,BEND,NE,Brooklyn,11238,308,35,No,,M1-1,Prospect Heights,3020300,3027474,3011220032,40.680888,-73.964668,03/01/2018 12:00:00 AM,09/01/2018 12:00:00 AM,Installed,Link Active!,"(40.68088788, -73.96466835)"
LINK-001029,bk-02-135022,497 FULTON STREET,FULTON STREET,WILLOUGHBY STREET,NEC,Brooklyn,11201,302,33,Yes,Fulton Mall,C6-4.5,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3001500,3413889,3001457501,40.690840,-73.985280,03/28/2018 12:00:00 AM,09/28/2018 12:00:00 AM,In Progress,ConEd in Progress,"(40.69084009, -73.98527975)"
