GF Application Submitted to DoITT (A),CBL Link ID,Latitude,Longitude,Borough,Zoning,Council District,Community Board,Street Address,Cross_Street 1,Cross_Street 2,Corner_location,Postcode,BID,Site in Business Improvement District (BID)?,Link In Historic District,NTA,GF Permit_Appl_Id,GF DoITT Submitted to CB (A),GF CB Comment Period Ends (A),DoITT NTP Issued (A),BIN,BBL,Census Tract,Location 1
10/05/2016,LINK-005418,40.57739,-74.10267,Staten Island,C2-1,50,502,2154A Hylan Blvd,ZWICKY AVE,MIDLAND AVE,SE,10306,,No,N,New Dorp-Midland Beach,81719,02/14/2017,04/15/2017,04/11/2018,5053558,5036910011,5011202,"(40.57739083, -74.10267054)"
08/16/2017,LINK-022690,40.67092,-73.99176,Brooklyn,M2-1,39,306,200 10th Street,3rd Ave,2nd Ave,SW,11215,,No,N,Park Slope-Gowanus,82196,12/05/2017,02/03/2018,,,3010140044,3012100,"(40.67091755, -73.99176131)"
08/16/2017,LINK-022691,40.66481,-73.98983,Brooklyn,C4-3A,39,307,577 5th Ave,16th Ave,Prospect Ave,SE,11215,Park Slope 5th Avenue,Yes,N,Park Slope-Gowanus,82197,12/01/2017,01/30/2018,,,3010530015,3014100,"(40.664812614170216, -73.98982589203763)"
10/11/2017,LINK-023019,40.80503,-73.93508,Manhattan,C1-4,9,111,174 east 127 street,Lexington Ave,3rd Ave,NW,10035,,No,N,East Harlem North,82423,02/02/2018,04/03/2018,,,1017750040,1024200,"(40.805034, -73.935083)"
08/16/2017,LINK-023020,40.68395,-73.96910,Brooklyn,C2-3,35,302,452 Clermont Ave,Fulton St,Atlantic Ave,SW,11238,Fulton Area,Yes,N,Fort Greene,82199,12/14/2017,02/12/2018,,,3020080013,3017900,"(40.68395193, -73.96910219)"
08/30/2017,LINK-023025,40.65180,-74.01065,Brooklyn,M1-2,38,307,4224 3 AVENUE,43 STREET,GOWANUS EXPRESSWAY,NW,11232,,No,N,Sunset Park West,82272,12/01/2017,01/30/2018,,,3007220043,3000200,"(40.65179654, -74.01064718)"
08/30/2017,LINK-023028,40.64961,-74.01292,Brooklyn,M1-2D,38,307,4620 3rd Avenue,47th Street,46th Street,NW,11220,,No,N,Sunset Park West,82274,12/01/2017,01/30/2018,,,3007540045,3000200,"(40.64961065, -74.01292424)"
08/30/2017,LINK-023029,40.64883,-74.01374,Brooklyn,M1-2D,38,307,274 48TH Street,48 STREET,49 STREET,SW,11220,,No,N,Sunset Park West,82285,12/01/2017,01/30/2018,,,3007720035,3002000,"(40.64882581, -74.01374045)"
08/30/2017,LINK-023030,40.64843,-74.01440,Brooklyn,M1-2D,38,307,284 49 STREET,2 AVENUE,GOWANUS EXPRESSWAY,SW,11220,,No,N,Sunset Park West,82282,12/01/2017,01/30/2018,,,3007810039,3002000,"(40.64842558, -74.01440402)"
08/30/2017,LINK-023033,40.65472,-74.00692,Brooklyn,M1-2D,38,307,969 3 ave,37th Street,38th Street,SE,11232,,No,N,Sunset Park West,82283,12/01/2017,01/30/2018,,,3007000007,3008400,"(40.65471658, -74.00691763)"
