Week,Sessions Per Week,Cumulative Sessions To Date,Bandwidth Utilization Per Week (TB),Cumulative Bandwidth Utilization To Date (TB),Average Session Duration,New Subscribers Per Week,Total Subscribers Per Week,Cumulative Subscribers To Date
Week of 2/29/2016,"31,523","161,899",0.418,1.73,00:03:01,"1,022","2,391","6,116"
Week of 3/7/2016,"54,896","216,795",0.635,1.84,00:02:47,"2,216","4,041","8,357"
Week of 3/14/2016,"61,217","285,012",0.602,2.32,00:02:49,"2,587","4,983","10,984"
Week of 3/21/2016,"103,613","381,766",1.103,3.21,00:03:09,"5,223","8,322","15,920"
Week of 3/28/2016,"158,420","540,186",1.315,5.28,00:02:53,"6,235","10,961","22,232"
Week of 4/4/2016,"232,615","772,801",1.975,7.25,00:02:58,"8,558","15,480","30,901"
Week of 4/11/2016,"265,788","1,038,587",2.045,9.28999999999999,00:02:41,"8,354","17,622","39,355"
Week of 4/18/2016,"295,665","1,334,252",2.19,11.47,00:02:42,"8,918","19,662","48,412"
Week of 4/25/2016,"398,208","1,732,457",3.26,14.74,00:02:55,"13,938","26,751","62,517"
Week of 5/2/2016,"461,639","2,194,096",3.74,18.48,00:02:57,"14,630","30,871","77,352"
Week of 5/9/2016,"534,479","2,728,575",4.39,22.87,00:02:56,"15,366","34,288","92,941"
Week of 5/16/2016,"564,942","3,293,515",4.43,27.30,00:02:58,"15,536","36,269","108,671"
Week of 5/23/2016,"630,668","3,924,182",5.03,32.33,00:02:55,"16,277","39,053","125,157"
Week of 5/30/2016,"626,790","4,550,969",4.75,37.08,00:02:57,"15,618","40,251","141,040"
Week of 6/6/2016,"687,625","5,238,591",5.49,42.57,00:02:57,"15,186","41,830","156,436"
Week of 6/13/2016,"714,250","5,952,837",5.6,48.17,00:02:55,"15,492","43,526","172,136"
Week of 6/20/2016,"738,350","6,691,186",5.6,53.77,00:02:55,"16,544","45,667","188,868"
Week of 6/27/2016,"752,740","7,443,924",5.7,59.47,00:02:55,"16,445","46,572","205,533"
Week of 7/4/2016,"746,462","8,190,384",6.19,65.66,00:03:06,"18,204","48,709","223,955"
Week of 7/11/2016,"893,033","9,083,415",6.7,72.36,00:02:55,"21,429","56,359","245,704"
Week of 7/18/2016,"1,035,958","10,119,373",7.79,80.15,00:02:57,"26,371","64,733","272,394"
Week of 7/25/2016,"1,193,660","11,313,032",8.65,88.79,00:02:55,"29,405","71,664","302,184"
Week of 8/1/2016,"1,377,833","12,697,236",10.37,102.84,00:03:13,"21,611","67,277","321,912"
Week of 8/8/2016,"1,585,082","14,282,318",12.29,115.13,00:03:22,"28,378","73,728","350,592"
Week of 8/15/2016,"1,663,717","15,946,035",12.7,127.83,00:03:25,"30,799","79,126","381,696"
Week of 8/21/2016,"1,775,886","17,721,921",13.91,141.74,00:03:23,"32,248","83,605","414,213"
Week of 8/29/2016,"1,641,374","19,363,295",13.73,155.479999999999,00:03:27,"24,616","77,424","439,082"
Week of 9/5/2016,"1,728,568","21,091,863",13.84,169.31,00:03:22,"24,129","78,640","463,460"
Week of 9/12/2016,"1,822,249","22,914,112",15.36,184.68,00:03:16,"25,714","83,660","489,405"
Week of 9/19/2016,"785,022","23,699,134",16.42,191.10,00:03:16,"10,288","54,908","499,761"
Week of 9/26/2016,"2,569,162","28,663,930",19.3099999999998,224.59,00:04:59,"30,867","201,612","607,188"
Week of 10/3/2016,"2,656,233","31,320,163",20.0799999999998,244.67,00:05:16,"34,317","209,943","641,505"
Week of 10/10/2016,"2,797,828","34,117,991",21.42,266.089999999999,00:05:26,"30,225","217,831","671,730"
Week of 10/17/2016,"2,966,555","37,084,545",22.58,288.67,00:06:45,"25,357","225,031","697,087"
Week of 10/24/2016,"3,004,361","40,088,906",21.37,310.04,00:06:41,"30,726","228,912","727,813"
Week of 10/31/2016,"3,339,811","43,428,717",26.13,336.17,00:05:50,"36,036","240,833","763,849"
Week of 11/7/2016,"3,415,825","46,844,542",26.96,363.13, 0:05:37,"20,821","243,175","784,670"
Week of 11/14/2016,"3,711,319","50,555,861",26.27,389.40,00:05:08,"28,792","246,763","813,462"
Week of 11/21/2016,"3,374,213","53,930,074",24.52,413.64,00:06:04,"31,653","246,122","845,115"
Week of 11/28/2016,"3,820,644","57,750,718",27.01,440.64,00:08:05,"25,809","254,982","870,924"
Week of 12/5/2016,"3,918,249","61,668,967",27.75,468.39,NA,"24,861","261,267","895,785"
Week of 12/12/2016,"3,856,446","65,525,413",27.53,495.92,00:05:59,"25,617","257,312","921,402"
Week of 12/19/2016,"4,007,559","69,532,972",29.02,524.94, 0:05:50,"40,073","268,875","961,475"
Week of 12/26/2016,"4,306,985","73,839,957",30.77,555.71,00:08:09,"42,729","296,875","1,004,204"
