CB Link ID,Link Site ID,Street Address,Cross Street 1,Cross Street 2,Borough,Zip Code,Community Board,Council District,Site in BID,BID,Zoning,Neighborhood Tabulation Area (NTA),Census Tract (CT),Building Identification Number (BIN),Borough-Block-Lot (BBL),Latitude,Longitude,DoITT NTP Issued (A),DoITT NTP Expiration Date,In Progress/Suspended,Project Status,Location 1
LINK-014548,qu-07-124293,42-95 MAIN STREET,CHERRY AVENUE,BLOSSOM AVENUE,Queens,11355,407,20,No,,C1-2,Flushing,4079702,4115881,4051360050,40.752624,-73.826856,02/01/2018 12:00:00 AM,08/01/2018 12:00:00 AM,In Progress,Ready to Submit to DOT,"(40.7526245, -73.82685581)"
LINK-011582,qu-07-124291,43-70 MAIN STREET,BLOSSOM AVENUE,CHERRY AVENUE,Queens,11355,407,20,No,,C1-2,Flushing,4079702,4115451,4051240030,40.753191,-73.827430,02/01/2018 12:00:00 AM,08/01/2018 12:00:00 AM,In Progress,Ready to Submit to DOT,"(40.75319078, -73.82742983)"
LINK-010424,qu-07-103162,42-51 MAIN STREET,FRANKLIN AVENUE,BLOSSOM AVENUE,Queens,11355,407,20,No,,C1-2,Flushing,4079702,4115869,4051360008,40.753834,-73.827542,01/29/2018 12:00:00 AM,07/29/2018 12:00:00 AM,In Progress,Ready to Submit to DOT,"(40.75383368, -73.82754182)"
LINK-014448,qu-07-124290,42-02 MAIN STREET,MAPLE AVENUE,FRANKLIN AVENUE,Queens,11355,407,20,No,,C1-2,Flushing,4085300,4115400,4051220029,40.755244,-73.828560,02/06/2018 12:00:00 AM,08/06/2018 12:00:00 AM,In Progress,Ready to Submit to DOT,"(40.755244079276856, -73.82855997009415)"
LINK-014114,qu-07-138930,42-01 MAIN STREET (link on Maple Ave),MAIN STREET,KISSENA BOULEVARD,Queens,11355,407,20,No,,C1-2,Flushing,4085300,,4051350001,40.755436,-73.828025,02/01/2018 12:00:00 AM,08/01/2018 12:00:00 AM,In Progress,Ready to Submit to DOT,"(40.75543644, -73.82802479)"
LINK-011193,qu-07-136359,41-96 MAIN STREET,MAPLE AVENUE,SANFORD AVENUE,Queens,11355,407,20,No,,C1-2,Flushing,4084900,4115370,4051210037,40.755466,-73.828424,01/29/2018 12:00:00 AM,07/29/2018 12:00:00 AM,In Progress,Ready to Submit to DOT,"(40.75546553972582, -73.82842357729817)"
LINK-013573,qu-07-124301,41-99 MAIN STREET,MAPLE AVENUE,SANFORD AVENUE,Queens,11355,407,20,No,,C1-2,Flushing,4085300,4115668,4051347503,40.755541,-73.828220,02/01/2018 12:00:00 AM,08/01/2018 12:00:00 AM,In Progress,Ready to Submit to DOT,"(40.75554131, -73.82822039)"
LINK-013572,qu-07-124297,41-60 MAIN STREET,SANFORD AVENUE,MAPLE AVENUE,Queens,11355,407,20,No,,C1-2,Flushing,4084900,4467591,4051210020,40.756498,-73.828837,01/17/2018 12:00:00 AM,07/17/2018 12:00:00 AM,In Progress,Ready to Submit to DOT,"(40.756498398251, -73.82883670171623)"
LINK-012073,qu-07-124309,41-57 MAIN STREET,SANFORD AVENUE,41 ROAD,Queens,11355,407,20,Yes,Downtown Flushing,C1-2,Flushing,4085300,4309523,4050437501,40.756817,-73.828734,01/08/2018 12:00:00 AM,07/08/2018 12:00:00 AM,In Progress,Ready to Submit to DOT,"(40.75681671, -73.8287341)"
LINK-013635,qu-07-124381,41-77 KISSENA BOULEVARD,BARCLAY AVENUE,SANFORD AVENUE,Queens,11355,407,20,Yes,Downtown Flushing,C4-2,Flushing,4085300,4114293,4050450001,40.757301,-73.827199,01/17/2018 12:00:00 AM,07/17/2018 12:00:00 AM,In Progress,ConEd in Progress,"(40.75730113, -73.82719918)"
