Station Name,Station Complex,Lines,Historical,Borough,County,Latitude,Longitude,WiFi Available,AT&T,Sprint,T-Mobile,Verizon,Location
8 Av,"8 Av & 14 St (A,C,E,L)",L,No,Manhattan,New York County,40.739777,-74.002578,No,Yes,Yes,Yes,Yes,"(40.739777, -74.002578)"
6 Av,"6 Av & 14 St (1,2,3,F,M,L)",L,No,Manhattan,New York County,40.737335,-73.996786,No,Yes,Yes,Yes,Yes,"(40.737335, -73.996786)"
23 St,"23 St (C,E)",CE,No,Manhattan,New York County,40.745906,-73.998041,No,Yes,Yes,Yes,Yes,"(40.745906, -73.998041)"
14 St,"8 Av & 14 St (A,C,E,L)",ACE,No,Manhattan,New York County,40.740893,-74.00169,No,Yes,Yes,Yes,Yes,"(40.740893, -74.00169)"
14 St,"6 Av & 14 St (1,2,3,F,M,L)",FM,No,Manhattan,New York County,40.738228,-73.996209,No,Yes,Yes,Yes,Yes,"(40.738228, -73.996209)"
14 St,"6 Av & 14 St (1,2,3,F,M,L)",123,No,Manhattan,New York County,40.737826,-74.000201,No,Yes,Yes,Yes,Yes,"(40.737826, -74.000201)"
5th Ave,"5 Av-59 St (N,R,W)",NR,No,Manhattan,New York County,40.764811,-73.973347,No,Yes,Yes,Yes,Yes,"(40.764811, -73.973347)"
57th St,"Midtown-57 St-7 Av (N,Q,R,W)",NQR,No,Manhattan,New York County,40.764664,-73.980658,No,Yes,Yes,Yes,Yes,"(40.764664, -73.980658)"
49th St,"49 St (N,R,W)",NR,No,Manhattan,New York County,40.759901,-73.984139,No,Yes,Yes,Yes,Yes,"(40.759901, -73.984139)"
Times Square,"Times Sq-42 St (N,Q,R,S,W,1,2,3,7)/42 St (A,C,E)",NQR,Yes,Manhattan,New York County,40.754672,-73.986754,No,Yes,Yes,Yes,Yes,"(40.754672, -73.986754)"
28th St,"28 St (N,R,W)",R,No,Manhattan,New York County,40.745494,-73.988691,No,Yes,Yes,Yes,Yes,"(40.745494, -73.988691)"
